2026-05-30,23:41:20,23:41:32,Antigravity.exe [action - Antigravity - app.py],12
2026-05-30,23:41:32,23:41:34,explorer.exe [タスクの切り替え],2
2026-05-30,23:41:34,23:41:52,msedge.exe [127.0.0.1:5000 および他 63 ページ - 個人 - Micros...],18
2026-05-30,23:41:52,23:41:56,Antigravity.exe [action - Antigravity - app.py],4
2026-05-30,23:41:56,23:42:02,msedge.exe [127.0.0.1:5000 および他 63 ページ - 個人 - Micros...],6
2026-05-30,23:42:02,23:43:14,Antigravity.exe [action - Antigravity - app.py],72
2026-05-30,23:43:14,23:43:18,msedge.exe [127.0.0.1:5000 および他 63 ページ - 個人 - Micros...],4
2026-05-30,23:43:18,23:43:30,Antigravity.exe [action - Antigravity - app.py],12
2026-05-30,23:43:30,23:43:32,explorer.exe,2
2026-05-30,23:43:32,23:43:36,ShellExperienceHost.exe [Microsoft Edge のジャンプ リスト],4
2026-05-30,23:44:50,23:44:56,Antigravity.exe [action - Antigravity - app.py],6
2026-05-30,23:44:56,23:45:04,msedge.exe [127.0.0.1:5000],8
2026-05-30,23:45:04,23:48:48,Antigravity.exe [action - Antigravity - app.py],224
2026-05-30,23:48:48,23:49:08,msedge.exe [行動ログ ダッシュボード],20
2026-05-30,23:49:08,23:49:10,explorer.exe,2
2026-05-30,23:49:10,23:50:14,ChatGPT.exe [研究テーマの提案],64
2026-05-30,23:50:14,23:50:16,msedge.exe [行動ログ ダッシュボード],2
2026-05-30,23:50:16,23:52:42,Antigravity.exe [action - Antigravity - app.py],146
2026-05-30,23:52:42,23:54:02,Antigravity.exe [action - Antigravity - Walkthrough],80
2026-05-30,23:54:02,23:54:04,msedge.exe [行動ログ ダッシュボード],2
2026-05-30,23:54:04,23:54:36,msedge.exe [Action Tracker Dashboard],32
2026-05-30,23:54:36,23:58:12,ChatGPT.exe [研究テーマの提案],216
2026-05-30,23:58:12,23:58:16,Antigravity.exe [action - Antigravity - Walkthrough],4
2026-05-30,23:58:16,23:58:34,ChatGPT.exe [研究テーマの提案],18
2026-05-30,23:58:34,23:58:42,Antigravity.exe [action - Antigravity - Walkthrough],8
2026-05-30,23:58:42,23:58:50,msedge.exe [Action Tracker Dashboard],8
2026-05-30,23:58:50,00:01:24,Antigravity.exe [action - Antigravity - Walkthrough],154
2026-05-31,00:01:24,00:01:34,msedge.exe [Action Tracker Dashboard],10
2026-05-31,00:01:54,00:02:10,Antigravity.exe [action - Antigravity - Walkthrough],16
2026-05-31,00:02:10,00:02:26,msedge.exe [Action Tracker Dashboard],16
2026-05-31,00:02:26,00:04:12,ChatGPT.exe [研究テーマの提案],106
2026-05-31,00:04:12,00:04:14,explorer.exe [タスクの切り替え],2
2026-05-31,00:04:14,00:04:18,Antigravity.exe [action - Antigravity - Walkthrough],4
2026-05-31,00:04:18,00:04:38,msedge.exe [Action Tracker Dashboard],20
2026-05-31,00:04:38,00:05:38,ChatGPT.exe [研究テーマの提案],60
2026-05-31,00:05:38,00:05:40,msedge.exe [Action Tracker Dashboard],2
2026-05-31,00:07:21,00:07:27,Antigravity.exe [action - Antigravity - Walkthrough],6
2026-05-31,00:07:27,00:08:01,msedge.exe [Action Tracker Dashboard],34
2026-05-31,00:08:01,00:09:15,Antigravity.exe [action - Antigravity - Walkthrough],74
2026-05-31,00:09:15,00:09:49,msedge.exe [Action Tracker Dashboard],34
2026-05-31,00:14:51,00:14:59,Antigravity.exe [action - Antigravity - Walkthrough],8
2026-05-31,00:14:59,00:15:33,msedge.exe [Action Tracker Dashboard],34
2026-05-31,00:15:33,00:15:35,explorer.exe [スナップ アシスト],2
2026-05-31,00:15:35,00:15:47,msedge.exe [Action Tracker Dashboard],12
2026-05-31,00:15:47,13:23:15,Unknown,47248
2026-05-31,13:23:15,13:23:44,msedge.exe [Action Tracker Dashboard],28
2026-05-31,13:23:44,13:23:46,explorer.exe [スナップ アシスト],2
2026-05-31,13:23:46,13:24:24,Antigravity.exe [action - Antigravity - Walkthrough],38
2026-05-31,13:24:24,13:24:52,uiWinMgr.exe [フォルダシールドを設定しなおしてください],28
2026-05-31,13:24:52,13:25:32,Antigravity.exe [action - Antigravity - Walkthrough],40
2026-05-31,13:25:32,13:25:40,explorer.exe,8
2026-05-31,13:25:40,13:25:44,Cursor.exe [Cursor],4
2026-05-31,13:25:44,13:26:44,Cursor.exe [Browser Tab - Alarm-clock-crap-code - Cu...],60
2026-05-31,13:26:44,13:26:52,ShellExperienceHost.exe [Cursor のジャンプ リスト],8
2026-05-31,13:26:52,13:26:54,explorer.exe,2
2026-05-31,13:26:54,13:27:10,Cursor.exe [Cursor],16
